"ECE_Id","Org_Name","Telephone","Fax","Email","Add1_Line1","Add1_Suburb","Add1_City","Org_Type","Definition","Authority","20_Hrs_ECE","Equity_Index","Territorial_Authority","Regional_Council","Education_Region","General_Electorate","Māori_Electorate","Area_Unit","Ward","Contact1_Name","Add2_Line1","Add2_Suburb","Add2_City","Management_Telephone","Management_Fax","Col_Id","Col_Name","Latitude","Longitude","All_Children","Under_2s","Age_0","Age_1","Age_2","Age_3","Age_4","Age_5","Roll_Date","Total","European","Māori","Pacific","Asian","Other"
"30315",Bright Stars Educare Limited,"07 843 1604","07 843 2601",brightstarseducare@gmail.com,"68 Collins Road",Deanwell,Hamilton,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Hamilton City,Waikato Region,Waikato,Hamilton West,Hauraki-Waikato,Melville,West Ward,Natalie Paewai,"68 Collins Road",Melville,Hamilton 3206,"","","","",-37.817944000,"175.275559000","24","5","0","5","4","4","4","0","2020-07-01 00:00:00.0000000","17","2","15","0","0","0"
"70057",Nova Montessori Children's House,"03 382 0503","",admin@novamontessori.school.nz,"53 Owles Terrace",New Brighton,Christchurch,Education and Care Service,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,New Brighton,Coastal Ward,Shubha Narayan,"53 Owles Terrace",New Brighton,Christchurch 8061,"03-9600936","","","",-43.510637000,"172.725032000","30","0","0","0","0","2","6","6","2020-07-01 00:00:00.0000000","14","9","1","0","4","0"
"45844",Pascals Herne Bay Kindy,"09 360 2066","",emma.norrie@eeg.co.nz,"1/272 Jervois Road",Herne Bay,Auckland,Education and Care Service,Not Applicable,Privately owned,No,EQI 5+,Auckland - Waitemata,Auckland Region,Auckland,Auckland Central,Tamaki Makaurau,Ponsonby West,Waitemata and Gulf Ward,Emma Norrie,P O Box 105843,Auckland City,Auckland 1143,"","09-8498098","","",-36.848230000,"174.731453000","59","0","","","","","","","2020-07-01 00:00:00.0000000","","","","","",""
"30325",BestStart Maui Street,"07 847 3714","09 250 1072",julie.bradley@best-start.org,"6 Maui Street",Te Rapa,Hamilton,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Hamilton City,Waikato Region,Waikato,Hamilton West,Hauraki-Waikato,Te Rapa,West Ward,Julie Bradley,P O Box 276177,Manukau City,South Auckland 2241,"07-8502059","","99035",He Waka Eke Noa (NW Hamilton) Community of Learning,-37.741498000,"175.229700000","100","24","9","11","21","25","27","0","2020-07-01 00:00:00.0000000","93","29","35","0","19","4"
"25360",Kakano Early Childhood Centre,"09 269 2868","",kakano@taonga.org.nz,"91 Palmers Road",Manukau City,Auckland,Education and Care Service,Maori ECE service (excluding TKR),Community based,Yes,EQI 2,Auckland - Manurewa,Auckland Region,Auckland,Manurewa,Tamaki Makaurau,Clendon South,Manurewa-Papakura Ward,Erana Doolan,P O Box 75644,Manurewa,South Auckland 2243,"09-269 2861","09-269 2860","99211",Te Korowai Kakahu o Manurewa Kāhui Ako,-37.036540000,"174.860944000","49","13","0","5","4","6","6","1","2020-07-01 00:00:00.0000000","22","0","9","0","3","2"
"20225",Caterpillars to Butterflies Childcare,"09 480 5827","09 480 5827",office@caterpillarstobutterflies.co.nz,"62 Coronation Road",Hillcrest,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Kaipatiki,Auckland Region,Auckland,Northcote,Te Tai Tokerau,Sunnybrae,North Shore Ward,Deeanne Morris,"161 Birkenhead Ave",Birkenhead,Auckland 0626,"09-483 8273","","","",-36.790814000,"174.729204000","35","15","3","4","12","10","10","1","2020-07-01 00:00:00.0000000","40","21","2","0","13","3"
"65238",Little Footsteps-John Street,"03 577 6008","",info@littlefootsteps.co.nz,"3 John Street","",Blenheim,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Marlborough District,Marlborough Region,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Blenheim Central,Blenheim Ward,Victoria Templeton,"102 Scott Street","",Blenheim,"","","99006",Piritahi (2BCoS) Community of Learning,-41.509801000,"173.953621000","45","20","1","5","13","18","7","0","2020-07-01 00:00:00.0000000","44","24","12","0","4","2"
"45340",Norfolk Street Educare,"09 438 4699","",marianne@educare.co.nz,"23 Norfolk St",Regent,Whangarei,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Regent,Okara Ward,Alan Lints,"3 Grey Street",Regent,Whangarei 0112,"09-4328540","","99181",Ngā Kura mo te ako o Whangarei Kāhui Ako Group 2,-35.719933000,"174.321845000","56","25","3","12","19","12","17","0","2020-07-01 00:00:00.0000000","63","39","16","0","3","2"
"80069",Cardrona Nursery & Ski Kindy,"03 443 7341","03 443 8880",kindy@cardrona.com,Cardrona Valley Road,"",Wanaka,Casual-Education and Care,Not Applicable,Privately owned,No,Not Applicable / Unknown,Queenstown-Lakes District,Otago Region,Otago/Southland,Waitaki,Te Tai Tonga,Matukituki,Wanaka Ward,Liz Nelson,P O Box 117,"",Wanaka 9343,"03-4437341 Ext 734","","","",-44.867292000,"169.016055000","50","15","","","","","","","2020-07-01 00:00:00.0000000","","","","","",""
"65231",Y Kids Early Learning Centre ,"03 545 6760","03 545 6762",yasnakeys@ymcanelson.org.nz,"183 St Vincent Street",Nelson Central,Nelson,Education and Care Service,Not Applicable,Community based,Yes,EQI 4,Nelson City,Nelson Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Broads,Area Outside Ward,Yasna Keys ,"183 St Vincent Street",Toi Toi,Nelson 7040,"03-5456760","","99005",Nelson City Community of Learning,-41.281432000,"173.269437000","91","15","2","12","18","29","30","2","2020-07-01 00:00:00.0000000","93","43","16","0","20","5"
"60096",BestStart Stokes Valley,"04 891 0105","",stokesvalley@best-start.org,"5 Young Grove",Stokes Valley,Lower Hutt,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Lower Hutt City,Wellington Region,Wellington,Remutaka,Ikaroa-Rawhiti,Delaney,Northern Ward,Kerry Pratchett,P O Box 276177,Manukau City,South Auckland 2241,"","","","",-41.175224000,"174.980049000","61","20","3","11","20","16","20","1","2020-07-01 00:00:00.0000000","71","36","19","0","7","1"
"45454",Red Kite Preschool,"09 638 5674","",admin@redkitepreschool.co.nz,"24 King George Avenue",Epsom,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Albert-Eden,Auckland Region,Auckland,Epsom,Tamaki Makaurau,Epsom Central,Albert-Eden-Roskill Ward,Anita Neal ,Red Kite Preschool 24 King George Avenue,Epsom,Auckland 1023,"","","","",-36.889856000,"174.771920000","35","6","0","5","8","7","6","0","2020-07-01 00:00:00.0000000","26","2","2","0","21","0"
"45462",Crackerjax Early Learning Centre,"03 488 5333","","","2 Westland Street",Green Island,Dunedin,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Dunedin City,Otago Region,Otago/Southland,Taieri,Te Tai Tonga,Green Island,Area Outside Ward,Angela Spek,"2 Westland Street",Green Island,Dunedin 9018,"03-4882202","","","",-45.901908000,"170.425012000","42","10","1","8","11","16","13","0","2020-07-01 00:00:00.0000000","49","45","3","0","1","0"
"25367",Bright Sparks Childcare Henderson,"09 836 2500","",west@bscc.co.nz,"40 Paramount Drive",Henderson,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Henderson-Massey,Auckland Region,Auckland,Te Atatu,Te Tai Tokerau,Kingdale,Waitakere Ward,Leonie Parker,P O Box 28656,Remuera,Auckland 1541,"09-3584480","","99013",Te Atatu Community of Learning,-36.855195000,"174.631922000","120","30","1","10","15","19","13","0","2020-07-01 00:00:00.0000000","58","13","11","0","20","6"
"20231",Lollipops North Harbour Fantails,"09 444 9248","09 444 9242","","33-35 Cheval Drive",Glenfield,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Kaipatiki,Auckland Region,Auckland,Upper Harbour,Te Tai Tokerau,Target Road,North Shore Ward,Paula Hawkings,P O Box 105843,Auckland City,Auckland 1143,"09-4279047","","","",-36.766028000,"174.727945000","53","23","6","15","19","22","0","0","2020-07-01 00:00:00.0000000","62","26","7","0","22","4"
"25374",Flanshaw Infant & Toddler Centre,"09 834 7142","09 834 7128",flanshawinfants@gmail.com,"2 Cole Place",Te Atatu South,Auckland,Education and Care Service,Not Applicable,Community based,Yes,EQI 5+,Auckland - Henderson-Massey,Auckland Region,Auckland,Te Atatu,Tamaki Makaurau,Wakeling,Waitakere Ward,Purdey Redfearn,P O Box 186,West Harbour,Auckland 0661,"09-8347142","","","",-36.859498000,"174.644352000","30","20","1","14","16","1","0","0","2020-07-01 00:00:00.0000000","32","17","10","0","4","0"
"45458",Haleema Kindergarten,"04 567 2788","04 567 2788","","16-20 Hunter Street",Taita,Lower Hutt,Education and Care Service,Not Applicable,Community based,Yes,EQI 2,Lower Hutt City,Wellington Region,Wellington,Remutaka,Ikaroa-Rawhiti,Taita South,Northern Ward,Sameer El-Matary,"16-20 Hunter Street ",Taita,Lower Hutt 5011,"04-97205866","04-387 4227","","",-41.184165000,"174.953965000","40","0","0","0","8","5","12","0","2020-07-01 00:00:00.0000000","25","1","1","0","7","7"
"45668",All About Children  - Browns,"09 267 0618","","49brownsroad@allaboutchildren.co.nz","49 Browns Road",Manurewa,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 1,Auckland - Manurewa,Auckland Region,Auckland,Manurewa,Tamaki Makaurau,Wiri,Manurewa-Papakura Ward,Trina Tuki,P O Box 15503,New Lynn,Auckland 0640,"09-8203933","","","",-37.011128000,"174.884368000","35","0","0","0","4","8","14","1","2020-07-01 00:00:00.0000000","27","0","6","0","6","0"
"45669",BestStart Cornwall Street,"04 566 4205","",cornwall@best-start.org,"3 Cornwall Street",Lower Hutt Central,Lower Hutt,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga,Hutt Central,Central Ward,Kerry Pratchett,P O Box 276177,Manukau City,South Auckland 2241,"","","","",-41.210736000,"174.908868000","100","25","4","15","28","31","25","1","2020-07-01 00:00:00.0000000","104","42","14","0","33","2"
"45673",BestStart Kaikorai Valley Road,"03 488 0074","",kaikorai@best-start.org,"463 Kaikorai Valley Road",Bradford,Dunedin,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Dunedin City,Otago Region,Otago/Southland,Dunedin,Te Tai Tonga,Kenmure,Area Outside Ward,Shelley Clark,P O Box 276177,Manukau City,South Auckland 2241,"","","","",-45.883063000,"170.467218000","75","20","7","11","10","20","17","1","2020-07-01 00:00:00.0000000","66","60","3","0","1","2"
"80057",St Clair Corner Infants and Toddlers Centre Ltd,"03 455 6405","03 455 6401",admin@stclaircorner.co.nz,"277 Macandrew Road",South Dunedin,Dunedin,Education and Care Service,Not Applicable,Privately owned,No,EQI 5+,Dunedin City,Otago Region,Otago/Southland,Taieri,Te Tai Tonga,St Clair,Area Outside Ward,Heather Hobbs,P O Box 2298,South Dunedin,Dunedin 9044,"03-4556405","03-4556401","","",-45.902234000,"170.487493000","25","25","4","14","8","0","0","0","2020-07-01 00:00:00.0000000","26","17","4","0","1","2"
"70152",Woolston Playcentre,"03 260 1050","","","29 Portman Street",Woolston,Christchurch,Playcentre,Not Applicable,Community based,Yes,Not Applicable / Unknown,"","",Canterbury/Chatham Islands,Rangitikei,Te Tai Tonga,Ferrymead,"",Sara Moore,P O Box 83,"",Rawene 0473,"03-2601050","","","","","","25","20","","","","","","","2020-07-01 00:00:00.0000000","","","","","",""
"70069",Papanui Preschool,"03 354 3437","",papanuipreschool@xtra.co.nz,"165 Langdons Road",Papanui,Christchurch,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 3,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Casebrook,Papanui Ward,Attapattu Abeykoon,"6 Te Rito Street",Marshland,Christchurch,"","","","",-43.489499000,"172.597663000","42","12","0","5","7","4","1","2","2020-07-01 00:00:00.0000000","19","6","7","0","2","1"
"40319",Lambs Preschool Brookfield,"07 576 1747","07 576 1737",manager.bf@lambspreschool.co.nz,"38-40 Millers Road",Brookfield,Tauranga,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Tauranga City,Bay of Plenty Region,Bay of Plenty/Waiariki,Tauranga,Waiariki,Brookfield,Otumoetai-Pyes Pa Ward,Alicia Evans,"3 Northvale Place","",Pukekohe,"","","99036",Ōtūmoetai Community of Learning,-37.690874000,"176.131910000","50","20","1","6","10","4","8","2","2020-07-01 00:00:00.0000000","31","24","5","0","1","0"
"40310",Bizzy Buddyz (2),"07 308 4314","07 308 4315",maree@bizzybuddyz.co.nz,"76 Alexander Avenue","",Whakatane,Homebased Network,Not Applicable,Privately owned,Yes,EQI 3,Whakatane District,Bay of Plenty Region,Bay of Plenty/Waiariki,East Coast,Waiariki,Allandale-Mokorua,Whakatane-Ohope Ward,Maree Allen,P O Box 827,"",Whakatane 3158,"07-3084312","07-3084312","","",-37.967079000,"176.982961000","60","60","2","12","11","23","10","1","2020-07-01 00:00:00.0000000","59","15","44","0","0","0"
"20226",Folkestone Street Infant & Childcare,"09 410 1982","",folkestoneinfantcare@xtra.co.nz,"6 Folkestone Street",Mairangi Bay,Auckland,Education and Care Service,Not Applicable,Privately owned,No,EQI 5+,Auckland - Hibiscus and Bays,Auckland Region,Auckland,North Shore,Te Tai Tokerau,Murrays Bay,Albany Ward,Miranda Howden-Waugh,"2/84 Kowhai Road",Campbells Bay,North Shore City 0630,"09-4101 982","","99000",Mid Bays Community of Schools,-36.735345000,"174.750104000","30","25","4","16","22","0","0","0","2020-07-01 00:00:00.0000000","42","31","4","0","7","0"
"30317",Kids Collective,"07 888 9930","",kcgeorgestreet@xtra.co.nz,"32 Waharoa Road West","",Matamata,Education and Care Service,Not Applicable,Privately owned,Yes,Not Applicable / Unknown,Matamata-Piako District,Waikato Region,Waikato,Waikato,Hauraki-Waikato,Matamata North,Matamata Ward,Sharon Bush,"535 State Highway 25 RD 6","",Thames 3576,"07-8889920","","99104",Matamata Community of Learning,-37.805208000,"175.769692000","72","19","4","11","13","22","18","0","2020-07-01 00:00:00.0000000","68","49","10","0","6","0"
"25366",Learning Adventures Airport Oaks,"09 257 1144","","","33 Andrew Baxter Drive",Mangere,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 3,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Mangere,Tamaki Makaurau,Mangere South,Manukau Ward,Sheree Davys,P O Box 105843,Auckland City,Auckland 1143,"09-2960522","","","",-36.976168000,"174.779481000","100","30","3","2","6","12","16","1","2020-07-01 00:00:00.0000000","40","3","18","0","3","0"
"45784",PORSE Otago/Southland S2,"","03 873 1178","","110 King Edward Street","",Dunedin,Homebased Network,Not Applicable,Privately owned,Yes,EQI 5+,Dunedin City,Otago Region,Otago/Southland,Taieri,Te Tai Tonga,Caledonian,Area Outside Ward,Janelle Quigley,P O Box 200,"",Hastings 4156,"","","","",-45.892899000,"170.498204000","80","80","1","2","6","1","0","0","2020-07-01 00:00:00.0000000","10","7","1","0","0","0"
"45785",Building Blocks Community Kindergarten,"03 338 5465","",lisa@thelighthousepreschool.co.nz,"51 Edinburgh Street",Barrington,Christchurch,Education and Care Service,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Barrington North,Spreydon Ward,Lisa Saunders,P O Box 33048,Barrington,Christchurch 8244,"03-3514415","","","",-43.552937000,"172.601530000","30","0","0","0","4","5","11","3","2020-07-01 00:00:00.0000000","23","12","6","0","4","1"
"45786",PORSE Otago/Southland S1,"03 472 8019","03 472 8018","","110 King Edward Street","",Dunedin,Homebased Network,Not Applicable,Privately owned,Yes,Not Applicable / Unknown,Dunedin City,Otago Region,Otago/Southland,Taieri,Te Tai Tonga,Caledonian,Area Outside Ward,Janelle Quigley,P O Box 200,"",Hastings 4156,"","","","",-45.892892000,"170.498229000","80","80","0","9","8","5","2","1","2020-07-01 00:00:00.0000000","25","23","1","0","0","0"
"45812",Kindercare Learning Centres Whakatiki,"04 527 0499","",upperhutt@kindercare.co.nz,"51 Whakatiki Street","",Upper Hutt,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Upper Hutt City,Wellington Region,Wellington,Remutaka,Ikaroa-Rawhiti,Poets Block,Area Outside Ward,Petrea Medland,"60 Greville Road",Pinehill,Auckland 0632,"04-586 5769","","","",-41.122154000,"175.050652000","120","50","4","22","33","38","43","2","2020-07-01 00:00:00.0000000","142","68","28","0","37","5"
"45819",Stems From Home 2,"09 536 7103","09 536 7108",stephany@stemsfromhome.co.nz,"93A Beach Road, Mellons Bay","",Auckland,Homebased Network,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Howick,Auckland Region,Auckland,Pakuranga,Tamaki Makaurau,Mellons Bay,Howick Ward,Stephany Wofinden,"93A Beach Road ",Mellons Bay,Auckland,"0800-783378","09-5367108","","",-36.900883000,"174.929474000","80","80","9","9","4","4","1","1","2020-07-01 00:00:00.0000000","28","15","0","0","3","0"
"45519",Lollipops Vickery Street,"07 849 6868","",cm.vickery@ledu.co.nz,"53 Vickery Street",Te Rapa,Hamilton,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Hamilton City,Waikato Region,Waikato,Hamilton West,Hauraki-Waikato,Te Rapa,West Ward,Madia Diamond,P O Box 105843,Auckland City,Auckland 1143,"07-8496868","","","",-37.751880000,"175.242393000","45","15","2","5","6","7","6","0","2020-07-01 00:00:00.0000000","26","3","19","0","2","1"
"45549",Au Pair Link Auckland 4,"09 309 4444","09 309 4445",morgan@apl.co.nz,"20 Lewis Road",Blockhouse Bay,Auckland,Homebased Network,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Whau,Auckland Region,Auckland,New Lynn,Tamaki Makaurau,Blockhouse Bay,Whau Ward,Morgan Holyoake,P O Box 163032,Lynfield,Auckland 1443,"0800-287 247","","","",-36.923583000,"174.707287000","80","80","2","3","6","4","7","0","2020-07-01 00:00:00.0000000","22","18","2","0","1","0"
"25354",Papatoetoe Footsteps Community Preschool,"09 250 1067","09 250 1084",footstepspap@xtra.co.nz,"28 Puhinui Road",Papatoetoe,Auckland,Education and Care Service,Not Applicable,Community based,Yes,EQI 3,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Manurewa,Tamaki Makaurau,Puhinui South,Manukau Ward,Angela Reynolds,P O Box 76107,Manukau City,Auckland 2241,"09-2501067","","","",-36.983213000,"174.875187000","50","0","0","0","8","14","28","2","2020-07-01 00:00:00.0000000","52","2","7","0","10","3"
"40307",Creators @ Home  - Auckland E & C,"0800 273 286","07 571 8031",david@creators.org.nz,"201 Sandwich Road",St Andrews-Hamilton,Hamilton,Homebased Network,Not Applicable,Privately owned,Yes,EQI 4,Hamilton City,Waikato Region,Auckland,Hamilton West,Hauraki-Waikato,Bryant,West Ward,Cherie Hernon,PO Box 10462,Te Rapa,Hamilton 3241,"","","","",-37.748562000,"175.249055000","80","80","2","2","2","3","0","0","2020-07-01 00:00:00.0000000","9","0","3","0","4","0"
"46087",BestStart Vardon Road,"07 849 3231","",kidstofive.vardon.manager@kidicorp.co.nz,"2 Hampton Place",Te Rapa,Hamilton,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Hamilton City,Waikato Region,Waikato,Hamilton West,Hauraki-Waikato,Bryant,West Ward,Julie Bradley,P O Box 276177,Manukau City,South Auckland 2241,"07-8502059","","99035",He Waka Eke Noa (NW Hamilton) Community of Learning,-37.762408000,"175.255624000","65","15","2","8","13","21","13","0","2020-07-01 00:00:00.0000000","57","17","22","0","10","2"
"45849",PORSE Otago/Southland S3,"03 218 2619","","","110 King Edward Street",South Dunedin,Dunedin,Homebased Network,Not Applicable,Privately owned,Yes,EQI 5+,Dunedin City,Otago Region,Otago/Southland,Taieri,Te Tai Tonga,Caledonian,Area Outside Ward,Janelle Quigley,P O Box 200,"",Hastings 4156,"","","","",-45.892878000,"170.498215000","80","80","1","2","7","2","8","0","2020-07-01 00:00:00.0000000","20","18","2","0","0","0"
"46051",Little Monkeys Preschool,"06 358 8262","",jenny@littlemonkeys.nz,"10 Pascal Street","",Palmerston North,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Palmerston North City,Manawatu-Wanganui Region,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Takaro,Area Outside Ward,Jennifer Hall,"10 Pascal Street","",Palmerston North 4410,"06-3546061","","99165",Te Oro Karaka Tahi Kāhui Ako,-40.354802000,"175.597214000","32","15","4","4","7","2","16","1","2020-07-01 00:00:00.0000000","34","20","11","0","1","0"
"40312",Waiapu Kids - Merivale Whanau Aroha,"","07 571 5121",saskia@acw.org.nz,"45 Henderson Crescent",Parkvale-Tauranga,Tauranga,Education and Care Service,Not Applicable,Community based,Yes,EQI 2,Tauranga City,Bay of Plenty Region,Bay of Plenty/Waiariki,Tauranga,Waiariki,Yatton Park,Te Papa-Welcome Bay Ward,Donna Dillon,P O Box 227,"",Napier 4140,"07-0","","","",-37.722045000,"176.142859000","43","10","0","5","6","10","17","0","2020-07-01 00:00:00.0000000","38","2","35","0","0","0"
"40314",Tutū,"0800 843 888","07 571 8745",manager@tutuchildcare.co.nz,"194 Fifteenth Avenue",Tauranga South,Tauranga,Homebased Network,Not Applicable,Community based,Yes,EQI 1,Tauranga City,Bay of Plenty Region,Bay of Plenty/Waiariki,Tauranga,Waiariki,Tauranga South,Te Papa-Welcome Bay Ward,Roberta Morunga,P O Box 15337,"",Tauranga 3144,"07-5715539","","99086",Te Puke Community of Learning,-37.704487000,"176.154713000","80","40","5","8","8","15","11","1","2020-07-01 00:00:00.0000000","48","3","41","0","4","0"
"45405",Beach Haven Playcentre ,"09 482 0794","09 415 3341",northern.csc@playcentre.org.nz,"6 Drome View Place",Beach Haven,Auckland,Playcentre,Not Applicable,Community based,Yes,EQI 5+,Auckland - Kaipatiki,Auckland Region,Auckland,Northcote,Te Tai Tokerau,Beachhaven North,North Shore Ward,Kiri McCabe,P O Box 83,"",Rawene 0473,"09-4153321","","","",-36.793300000,"174.687055000","26","15","1","3","7","4","4","1","2020-07-01 00:00:00.0000000","20","15","1","0","3","1"
"70095",Kidditech Early Learning Centre,"03 339 6666","",lou@kidditech.co.nz,"21 Stourbridge Street",Barrington,Christchurch,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Barrington North,Spreydon Ward,Louise Fyfe,P O Box 33299,Barrington,Christchurch 8024,"03-9421334","","99177",Te Mana Raupō Community of Learning,-43.559600000,"172.613852000","30","0","0","0","10","12","19","3","2020-07-01 00:00:00.0000000","44","31","7","0","3","0"
"70099",Barnardos Early Learning Centre Te Puna Oraka,"03 385 6148","03 386 1724",tepunaorakaelc@barnardos.org.nz,"69 B Briggs Road",Shirley,Christchurch,Education and Care Service,Not Applicable,Community based,Yes,EQI 3,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Mairehau North,Innes Ward,Gillian Chappell,P O Box 6434,Marion Square,Wellington 6141,"03-3856148","","","",-43.495818000,"172.654074000","36","11","1","10","10","16","11","0","2020-07-01 00:00:00.0000000","48","26","15","0","5","0"
"25408",Uptown Kids Epsom Childcare Centre ,"09 523 1716","",enquiries@uptownkids.co.nz,"216 Manukau Road",Epsom,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Albert-Eden,Auckland Region,Auckland,Epsom,Tamaki Makaurau,Mt St John,Albert-Eden-Roskill Ward,Paula  Bannister,"216 Manukau Rd ",Epsom,Auckland 1023,"09-8150460","","","",-36.883779000,"174.776040000","27","10","2","6","8","6","9","0","2020-07-01 00:00:00.0000000","31","12","1","0","13","0"
"25384",Lollipops Britomart,"09 365 1640","09 365 1641","","8 Tangihua Street",Auckland Central,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Waitemata,Auckland Region,Auckland,Auckland Central,Tamaki Makaurau,Auckland Harbourside,Waitemata and Gulf Ward,Supriya Sharma,P O Box 105843,Auckland City,Auckland 1143,"09-3651640","","","",-36.845881000,"174.773675000","60","25","4","3","8","8","12","1","2020-07-01 00:00:00.0000000","36","7","1","0","23","2"
"10427",Elim Christian Early Learning Centre,"09 430 4280","09 430 3401",lainecveitch@gmail.com,"16 Porowini Avenue",Morningside,Whangarei,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Kensington,Okara Ward,Delaine Veitch,"963 Cove Road, Langs Beach","",Waipu 0582,"","","","",-35.709976000,"174.316063000","59","15","1","12","18","18","20","1","2020-07-01 00:00:00.0000000","70","29","18","0","18","3"
"60108",Elim International Kids Early Childhood Centre,"04 801 6491","04 385 9640",info@elimkids.org.nz,Level 1 11-15 Alpha Street,Mt Cook-Wellington,Wellington,Education and Care Service,Not Applicable,Community based,Yes,EQI 5+,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga,Willis Street-Cambridge Terrace,Lambton Ward,Michelle Jordan,P O Box 6410,Mount Cook,Wellington 6011,"04-801 6491","04-385 9640","99171",Capital City Community of Learning,-41.294759000,"174.781916000","31","13","2","3","9","7","8","1","2020-07-01 00:00:00.0000000","30","4","1","0","16","2"
"46640",Playschool Wellington One,"09 478 4990","09 478 4998",office@playschooleducation.co.nz,"72 Apollo Drive",Albany,Auckland,Homebased Network,Not Applicable,Privately owned,Yes,Not Applicable / Unknown,Auckland - Upper Harbour,Auckland Region,Wellington,East Coast Bays,Te Tai Tokerau,Windsor Park,Albany Ward,Linda Muollo,P O Box 180029,Royal Heights,Auckland 0656,"","","","",-36.739493000,"174.726424000","50","50","0","2","5","2","7","0","2020-07-01 00:00:00.0000000","16","12","2","0","0","2"
"30320",Pohutukawa 2 - Standard,"06 868 3102","06 868 3680","","7 Ballance Street",Whataupoko,Gisborne,Homebased Network,Not Applicable,Privately owned,Yes,EQI 4,Gisborne District,Gisborne Region,Hawke's Bay/Tairawhiti,East Coast,Ikaroa-Rawhiti,Whataupoko,Gisborne Ward,Natalie Torrance,P O Box 562,Te Hapara,Gisborne 4040,"06-8671008","","99083",Taha Whānau (Gisborne) Kāhui Ako,-38.655332000,"178.024566000","80","40","3","3","3","5","3","0","2020-07-01 00:00:00.0000000","17","9","6","0","0","2"
"20236",BestStart Glenfield,"09 443 3023","",glenfield@best-start.org,"26 Manuka Road",Glenfield,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Kaipatiki,Auckland Region,Auckland,Upper Harbour,Te Tai Tokerau,Witheford,North Shore Ward,Jane  Burke,P O Box 276177,Manukau City,South Auckland 2241,"09-2504136","","","",-36.774868000,"174.718091000","100","25","9","19","32","23","31","3","2020-07-01 00:00:00.0000000","117","53","16","0","32","7"
"46090",Natural Steps Albany,"09 479 5051","",albany@naturalsteps.co.nz,"78 Apollo Drive",Albany,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,Not Applicable / Unknown,Auckland - Upper Harbour,Auckland Region,Auckland,East Coast Bays,Te Tai Tokerau,Windsor Park,Albany Ward,Maria Anstis,P O Box 31655,Milford,North Shore City 0741,"09-4793387","","99000",Mid Bays Community of Schools,-36.738862000,"174.726558000","80","28","7","13","12","21","14","1","2020-07-01 00:00:00.0000000","68","42","6","0","17","3"
